context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores
1,116,280,63,6,10,0.0,0.0,0.8,0.4,0.0
2,31,214,117,57,393,0.2,0.4,0.2,1.0,0.0
3,213,10,143,385,277,0.0,0.0,0.8,0.6,0.2
4,107,288,265,350,358,0.4,0.0,0.0,0.0,0.8
5,201,167,291,156,206,0.8,0.0,0.0,0.4,0.0
6,79,203,14,91,33,0.4,0.0,0.0,0.0,0.8
7,269,359,314,367,157,0.4,0.2,0.0,0.0,0.8
8,335,112,220,124,81,0.8,0.0,0.4,0.0,0.0
9,88,219,246,385,245,0.0,0.8,0.4,0.2,0.0
10,12,263,124,352,93,0.0,0.8,0.0,0.0,0.4
11,98,224,145,256,325,0.2,0.2,0.4,0.8,0.0
12,44,334,137,46,205,0.2,0.8,0.0,0.2,0.4
13,126,44,372,260,387,0.4,0.8,0.0,0.0,0.2
14,165,359,178,48,259,0.0,0.0,0.4,0.8,0.0
15,227,171,6,376,222,0.2,0.4,0.8,0.2,0.2
16,92,254,22,34,134,0.0,0.4,0.2,0.8,0.2
17,275,151,18,222,155,0.0,0.8,0.2,0.2,0.4
18,194,226,45,275,185,0.8,0.0,0.0,0.4,0.2
19,31,310,390,213,286,0.8,0.0,0.2,0.2,0.4
20,70,277,15,320,100,0.0,0.2,0.8,0.0,0.6
21,281,357,187,331,37,0.2,0.0,0.0,0.4,0.8
22,106,57,114,182,180,0.4,0.0,0.0,0.8,0.0
23,17,120,226,22,222,0.0,0.4,0.2,0.8,0.0
25,273,267,60,366,1,0.2,0.6,0.8,0.0,0.0
26,26,261,294,272,295,0.8,0.4,0.2,0.0,0.2
27,399,185,158,151,183,0.0,0.4,0.0,0.8,0.0
28,67,96,54,284,238,0.0,0.4,1.0,0.2,0.2
29,108,27,3,181,259,0.0,1.0,0.0,0.4,0.0
30,386,127,41,131,315,0.0,0.0,0.2,0.8,0.6
31,331,5,150,311,336,0.8,0.0,0.2,0.4,0.0
32,71,213,7,330,151,0.0,0.0,0.8,0.0,0.4
33,80,181,6,206,318,0.2,0.4,1.0,0.0,0.2
34,321,37,217,396,181,0.0,0.2,0.8,0.4,0.0
35,295,104,37,125,381,0.0,0.0,0.8,0.6,0.0
36,160,319,222,134,31,0.2,0.0,0.6,0.2,0.8
37,115,175,391,52,126,0.4,0.0,0.0,0.8,0.0
38,194,131,358,396,276,0.4,0.2,0.8,0.2,0.0
39,115,110,20,68,16,0.0,0.2,0.8,0.6,0.0
40,287,78,316,225,59,0.0,0.0,0.0,0.8,0.4
41,21,149,7,330,86,0.0,0.0,0.4,0.2,1.0
43,305,199,165,208,262,0.0,0.6,0.8,0.0,0.0
44,325,197,8,151,52,0.0,0.0,0.8,0.4,0.0
45,316,252,98,278,270,0.0,0.0,0.8,0.4,0.0
46,256,286,28,267,365,0.2,0.2,0.4,0.8,0.0
47,372,53,273,85,311,0.0,0.2,0.8,0.0,0.4
48,331,388,382,260,190,0.8,0.0,0.0,0.0,0.4
49,5,51,151,202,18,0.0,0.8,0.0,0.4,0.0
50,371,263,161,232,294,0.2,0.4,0.0,0.8,0.0
51,41,124,125,235,322,0.8,0.0,0.2,0.0,0.4
52,372,306,218,147,343,0.8,0.2,0.0,0.0,0.4
53,8,17,89,35,228,0.2,0.2,0.0,0.8,0.6
54,309,107,193,395,252,0.2,0.4,0.2,0.8,0.0
55,102,348,62,357,221,0.0,0.6,0.8,0.0,0.0
56,44,205,275,30,60,0.2,0.6,0.8,0.0,0.0
57,304,249,91,132,256,0.0,0.0,0.6,0.8,0.0
58,380,93,184,107,170,0.0,0.8,0.0,0.4,0.0
59,209,139,308,128,43,0.0,0.0,0.2,0.8,0.4
60,230,86,236,372,90,0.0,0.2,0.0,0.4,0.8
61,309,382,132,137,160,0.8,0.0,0.4,0.0,0.0
62,70,274,279,269,280,0.0,0.0,0.2,0.8,0.6
63,317,249,22,18,90,0.0,0.0,0.4,0.8,0.0
64,119,383,257,336,18,0.2,0.0,0.4,0.0,0.8
65,57,290,215,261,42,0.8,0.0,0.0,0.2,0.4
66,247,32,40,284,147,0.2,0.8,0.0,0.4,0.0
67,36,80,20,254,289,0.0,0.4,0.8,0.0,0.0
68,285,311,323,11,14,0.0,0.8,0.0,0.4,0.0
69,212,41,309,60,113,0.8,0.2,0.0,0.4,0.0
70,17,163,195,198,108,0.8,0.0,0.0,0.4,0.0
71,339,221,384,151,134,0.0,0.0,0.0,0.8,0.4
72,266,235,154,207,157,0.0,0.0,0.8,0.0,0.4
73,196,137,338,187,326,0.0,0.0,0.8,0.0,0.6
74,146,130,63,51,224,0.8,0.4,0.0,0.2,0.0
76,165,125,335,66,234,0.8,0.6,0.2,0.0,0.0
77,185,373,231,291,161,0.4,0.8,0.2,0.0,0.0
78,92,158,140,196,163,0.0,0.8,0.2,0.0,0.4
79,326,211,145,138,73,0.2,0.0,0.8,0.0,0.4
80,202,333,145,193,192,0.2,0.8,0.4,0.0,0.0
81,222,213,145,147,194,0.8,0.2,0.2,0.0,0.4
82,161,391,179,75,356,0.0,0.2,0.0,0.8,0.4
83,41,236,81,302,135,0.8,0.0,0.4,0.0,0.0
84,276,86,206,90,337,0.0,0.4,0.8,0.2,0.2
85,225,201,237,88,212,0.4,0.8,0.0,0.0,0.0
86,384,215,156,180,68,0.8,0.2,0.0,0.0,0.6
87,192,63,36,309,21,0.0,0.0,0.0,0.8,0.6
88,157,381,113,279,12,0.0,0.0,0.0,0.4,0.8
89,300,317,301,248,125,0.8,0.0,0.2,0.4,0.2
90,356,316,315,34,216,0.8,0.2,0.2,0.2,0.6
91,100,34,144,114,367,0.4,0.8,0.0,0.2,0.0
92,304,53,177,250,240,0.0,0.8,0.0,0.0,0.4
93,354,94,362,104,321,0.0,0.0,0.4,0.8,0.0
94,181,386,157,289,200,0.2,0.0,0.8,0.0,0.4
95,398,369,132,207,278,0.0,1.0,0.0,0.0,0.4
96,321,21,231,253,37,0.0,0.6,0.0,0.0,0.8
97,207,237,275,290,216,0.0,0.0,0.2,0.4,0.8
98,358,86,0,338,18,0.2,0.4,0.2,0.2,0.8
99,376,359,155,159,86,0.8,0.4,0.0,0.2,0.2
100,9,302,29,41,348,0.2,0.4,0.0,0.8,0.2
101,62,65,293,49,274,0.4,0.0,0.0,0.8,0.0
