context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores,candidate_6_scores,candidate_7_scores,candidate_8_scores,candidate_9_scores,candidate_10_scores,candidate_11_scores,candidate_12_scores
1,63,335,143,155,11,266,171,90,268,135,91,384,0.8,0.4,0.0,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
2,59,273,305,111,189,1,39,274,117,125,57,163,0.4,0.4,0.2,0.2,0.0,0.0,0.2,0.4,0.2,0.2,1.0,0.0
3,353,69,257,84,42,396,334,290,240,340,163,169,0.4,0.0,0.2,0.4,0.4,0.2,0.0,0.0,0.2,0.0,0.2,0.8
4,36,187,154,358,75,174,275,140,376,391,189,324,0.2,0.4,0.0,0.8,0.0,0.2,0.4,0.0,0.2,0.4,0.0,0.0
5,122,148,173,337,21,201,189,70,167,33,352,205,0.0,0.2,0.2,0.2,0.0,0.8,0.0,0.4,0.0,0.2,0.6,0.4
6,269,295,289,144,199,13,313,29,196,98,54,352,0.6,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.8,0.2,0.0
7,92,350,155,129,157,383,289,143,334,125,244,224,0.4,0.0,0.2,0.0,0.8,0.0,0.4,0.0,0.2,0.0,0.4,0.2
8,69,225,335,233,158,346,75,160,255,182,70,338,0.0,0.4,0.8,0.2,0.0,0.0,0.4,0.6,0.0,0.2,0.0,0.0
9,98,280,31,139,27,272,169,393,215,307,103,378,0.2,0.2,0.4,0.0,0.0,0.8,0.2,0.4,0.0,0.0,0.4,0.0
10,340,68,158,170,359,258,291,118,157,81,342,263,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.8
11,257,170,105,320,178,243,267,281,241,39,106,88,0.6,0.0,0.4,0.2,0.4,0.0,0.8,0.2,0.0,0.2,0.0,0.0
12,83,177,122,242,219,216,334,247,325,211,342,172,0.0,0.0,0.6,0.2,0.0,0.0,0.8,0.2,0.4,0.0,0.4,0.2
