context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores,candidate_6_scores,candidate_7_scores,candidate_8_scores
1,214,55,23,271,255,293,133,311,0.6,0.2,0.0,0.4,0.0,0.8,0.4,0.0
2,351,154,261,104,131,57,390,310,0.0,0.2,0.4,0.4,0.2,1.0,0.0,0.4
3,319,352,143,86,203,271,220,324,0.2,0.0,0.8,0.4,0.0,0.4,0.4,0.0
4,394,37,245,351,219,264,280,127,0.4,0.6,0.0,0.2,0.2,0.8,0.0,0.4
5,210,222,388,318,201,146,290,12,0.0,0.4,0.0,0.4,0.8,0.0,0.0,0.4
6,379,337,73,80,79,146,98,298,0.0,0.6,0.6,0.0,0.4,0.0,0.8,0.2
7,252,47,54,157,62,236,92,261,0.0,0.4,0.2,0.8,0.4,0.0,0.4,0.2
8,148,391,287,138,216,30,110,342,0.8,0.0,0.4,0.0,0.2,0.0,0.6,0.4
9,219,135,116,351,26,304,57,12,0.8,0.6,0.4,0.2,0.2,0.0,0.4,0.0
10,227,222,263,93,195,391,268,240,0.4,0.2,0.8,0.4,0.4,0.0,0.0,0.0
11,267,97,371,166,316,72,277,193,0.8,0.2,0.4,0.0,0.0,0.4,0.4,0.2
12,161,273,34,254,65,359,357,333,0.4,0.0,0.4,0.0,1.0,0.6,0.0,0.0
13,213,106,347,77,395,396,17,168,0.2,0.4,0.0,0.2,0.4,0.0,0.6,0.8
14,15,317,26,188,53,265,387,48,0.0,0.0,0.0,0.6,0.4,0.4,0.0,0.8
15,199,102,87,186,316,163,6,53,0.4,0.0,0.0,0.4,0.0,0.0,0.8,0.4
16,29,344,49,3,200,160,133,310,0.6,0.0,0.2,0.2,0.4,0.8,0.6,0.0
17,171,59,51,92,269,323,151,127,0.0,0.4,0.0,0.0,0.4,0.4,0.8,0.0
18,384,128,151,399,199,386,280,105,0.8,0.2,0.2,0.0,0.4,0.4,0.2,0.4
19,398,131,127,86,186,73,232,213,1.0,0.0,0.4,0.6,0.0,0.4,0.2,0.2
20,162,188,91,169,258,89,333,137,0.2,0.0,0.4,0.4,0.2,0.4,0.0,0.8
21,370,351,328,0,37,280,278,68,0.4,0.2,0.2,0.2,0.8,0.2,0.4,0.4
22,182,42,396,289,218,288,281,315,0.8,0.2,0.0,0.0,0.4,0.0,0.4,0.4
23,49,119,232,342,378,118,327,22,0.4,0.4,0.2,0.0,0.0,0.4,0.2,0.8
25,318,60,294,212,20,182,311,29,0.4,0.8,0.0,0.0,0.0,0.2,0.4,0.4
26,26,70,174,60,219,92,288,158,0.8,0.0,0.4,0.4,0.0,0.0,0.6,0.0
27,151,32,122,198,142,66,118,240,0.8,0.4,0.4,0.0,0.0,0.0,0.2,0.4
28,96,31,128,161,150,114,224,32,0.4,0.0,0.2,0.4,0.2,0.8,0.0,0.4
29,195,350,72,186,22,141,245,217,0.0,0.0,0.0,0.8,0.0,0.6,0.4,0.4
30,102,325,105,385,283,378,131,289,0.0,0.4,0.4,0.0,0.4,0.0,0.8,0.0
31,331,180,202,37,233,57,125,30,0.8,0.0,0.2,0.4,0.2,0.0,0.4,0.4
32,276,37,262,383,330,49,241,122,0.6,0.4,0.0,0.0,0.0,0.8,0.0,0.6
33,291,375,54,101,235,309,236,376,0.2,0.0,0.8,0.0,0.4,0.6,0.4,0.0
34,120,73,62,175,255,119,328,333,0.0,0.8,0.4,0.0,0.4,0.0,0.4,0.0
35,310,29,41,91,139,385,89,76,0.4,0.4,0.8,0.0,0.0,0.0,0.0,0.4
36,144,374,68,44,181,162,31,270,0.2,0.4,0.6,0.0,0.0,0.0,0.8,0.4
37,96,8,130,239,229,225,59,71,0.8,0.2,0.2,0.4,0.0,0.4,0.4,0.0
38,111,125,25,71,328,334,330,170,0.8,0.2,0.0,0.0,0.4,0.4,0.4,0.2
39,195,99,332,297,239,224,269,275,0.4,0.0,0.0,0.4,0.4,0.0,0.8,0.0
40,164,102,239,225,105,265,355,134,0.4,0.0,0.6,0.8,0.2,0.0,0.4,0.2
41,144,205,307,139,208,325,6,134,0.2,0.4,0.6,0.0,0.0,0.8,0.2,0.4
43,341,274,64,97,283,306,399,58,0.2,0.0,0.0,0.6,0.2,0.6,0.4,0.8
44,173,8,68,307,223,222,277,373,0.0,0.8,0.4,0.0,0.0,0.4,0.0,0.4
45,195,239,324,43,369,117,141,98,0.0,0.4,0.6,0.0,0.0,0.4,0.0,0.8
46,166,267,176,238,152,179,294,304,0.0,0.8,0.4,0.0,0.2,0.6,0.0,0.4
47,276,227,258,120,285,57,277,337,0.8,0.4,0.2,0.0,0.0,0.6,0.4,0.0
48,96,312,353,305,71,154,222,163,0.2,0.0,0.4,0.0,0.0,0.4,0.4,0.8
49,123,11,372,238,0,386,51,205,0.6,0.4,0.0,0.4,0.0,0.0,0.8,0.0
50,298,353,332,232,95,255,143,261,0.6,0.0,0.4,0.8,0.0,0.0,0.6,0.0
51,59,69,354,298,78,155,190,98,0.2,0.0,0.0,0.6,0.8,0.4,0.0,0.4
52,182,223,145,5,92,8,78,104,0.6,0.0,0.0,0.0,0.4,0.0,0.8,0.4
53,178,226,50,184,190,109,10,85,0.6,0.4,0.2,0.0,0.8,0.4,0.0,0.0
54,27,115,359,212,217,395,264,7,0.2,0.0,0.2,0.4,0.0,0.8,0.4,0.4
55,250,281,64,93,377,194,222,126,0.0,0.4,0.0,0.4,0.2,0.4,0.8,0.0
56,85,49,114,299,155,133,11,240,0.4,0.0,0.4,0.0,0.0,0.4,0.8,0.2
57,63,7,98,164,115,183,182,14,0.0,0.4,0.4,0.8,0.0,0.0,0.4,0.0
58,207,61,397,107,147,223,93,8,0.0,0.0,0.4,0.4,0.0,0.0,0.8,0.4
59,366,227,208,128,205,185,21,304,0.2,0.4,0.0,0.8,0.2,0.6,0.6,0.0
60,127,85,53,188,132,14,335,6,0.0,0.4,0.2,0.8,0.0,0.4,0.2,0.4
61,341,394,14,355,160,229,165,159,0.4,0.2,0.2,0.4,0.0,0.0,0.4,1.0
62,216,141,134,275,10,259,63,335,0.4,0.4,0.2,0.8,0.0,0.0,0.2,0.4
63,256,242,33,376,26,329,362,270,0.8,0.4,0.0,0.4,0.0,0.0,0.4,0.0
64,72,18,304,242,324,286,134,244,0.0,0.8,0.0,0.4,0.6,0.0,0.2,0.6
65,326,248,250,58,358,150,5,225,0.4,0.2,0.0,0.0,0.8,0.0,0.6,0.4
66,20,312,284,160,211,286,287,91,0.4,0.0,0.4,0.2,0.0,0.8,0.0,0.4
67,171,20,301,147,331,92,382,59,0.4,0.8,0.0,0.0,0.0,0.4,0.0,0.6
68,227,249,333,41,177,106,382,311,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.8
69,21,205,95,81,335,130,10,141,0.0,0.2,0.4,0.0,0.8,0.4,0.0,0.4
