context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores,candidate_6_scores,candidate_7_scores,candidate_8_scores,candidate_9_scores,candidate_10_scores,candidate_11_scores,candidate_12_scores
1,179,284,87,114,32,337,281,231,339,366,330,374,0.4,0.0,0.8,0.4,0.2,0.4,0.2,0.2,0.4,0.6,0.2,0.2
2,17,264,239,333,158,46,328,323,240,252,295,89,0.4,0.2,0.4,0.2,0.6,0.2,0.2,0.0,0.2,0.4,0.6,0.8
3,217,268,133,105,91,38,27,144,69,316,123,3,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.4,0.6,0.0,0.2,0.8
4,123,266,85,367,81,68,232,299,26,96,120,308,0.0,0.0,0.4,0.4,0.4,0.0,0.2,0.8,0.4,0.2,0.2,0.4
5,360,169,177,108,375,49,230,339,389,189,147,358,0.6,0.2,0.2,0.4,0.4,0.2,0.8,0.0,0.0,0.4,0.4,0.2
6,242,254,256,154,33,200,4,252,73,136,210,274,0.6,0.0,0.6,0.6,0.8,0.2,0.0,0.0,0.6,0.0,0.4,0.0
7,126,13,320,165,111,236,27,277,168,128,77,392,0.6,0.0,0.4,0.2,0.0,0.4,0.4,0.8,0.0,0.4,0.0,0.2
8,92,372,353,30,196,51,98,210,4,70,302,130,0.2,0.2,0.0,0.0,0.4,0.0,0.4,0.4,1.0,0.4,0.4,0.0
9,391,173,267,88,58,231,170,328,262,177,392,219,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.6,0.4,0.4,0.6,0.8
10,169,229,172,51,301,216,329,392,241,227,91,31,0.2,0.2,0.8,0.4,0.4,0.0,0.4,0.6,0.0,0.4,0.2,0.2
11,264,109,178,80,184,144,210,16,348,349,119,277,0.2,0.2,0.4,0.4,0.2,0.6,0.2,0.2,0.4,0.4,0.2,1.0
12,17,119,271,75,205,232,163,258,170,341,360,46,0.2,0.2,0.2,0.6,0.4,0.2,0.2,0.8,0.4,0.6,0.6,0.2
13,300,370,38,342,265,117,154,182,313,146,17,20,0.4,0.4,0.0,0.2,0.2,0.0,0.6,0.2,0.2,0.8,0.6,0.4
14,107,365,282,118,88,156,11,92,141,55,258,339,0.4,0.8,0.0,0.2,0.2,0.0,0.2,0.6,0.0,0.4,0.6,0.4
15,380,43,343,357,317,302,319,7,6,189,106,141,0.2,0.4,0.6,0.4,0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.4
16,17,360,396,398,313,215,191,80,201,139,120,352,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0.8,0.2,0.2,0.4,0.2
17,70,36,108,125,133,213,239,145,94,365,30,91,0.0,0.6,0.8,0.4,0.4,0.2,0.6,0.2,0.0,0.2,0.4,0.2
18,52,390,383,210,117,165,239,136,49,10,291,8,0.2,0.4,0.4,0.0,0.4,0.8,0.2,0.4,0.0,0.0,0.2,0.6
19,153,31,185,356,239,158,23,376,358,318,310,188,0.2,0.8,0.4,0.4,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2
20,0,46,53,179,193,205,340,141,314,209,10,71,0.2,0.2,0.2,0.8,0.4,0.4,0.2,0.4,0.2,0.6,0.2,0.6
21,72,272,211,83,342,308,56,320,181,370,13,354,0.4,0.4,0.8,0.0,0.2,0.2,0.0,0.2,0.4,0.4,0.2,0.4
22,159,93,89,312,49,377,279,384,104,62,230,34,0.8,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.2,0.0,0.4,0.2
23,281,175,93,373,200,304,11,126,146,337,181,180,0.2,0.0,0.4,0.0,0.6,0.8,0.2,0.0,0.4,0.4,0.2,0.4
24,85,275,130,351,177,255,350,291,184,165,356,320,0.2,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.8
25,193,256,220,110,316,192,255,245,32,250,236,117,0.2,0.8,0.4,0.4,0.2,0.2,0.2,0.4,0.4,0.0,0.4,0.2
26,391,398,115,223,129,291,335,318,269,187,375,239,0.2,0.2,0.4,0.6,0.2,0.4,0.8,0.0,0.4,0.0,0.2,0.4
27,149,347,26,178,273,324,335,10,156,151,8,16,0.0,0.4,0.4,0.2,0.2,0.6,0.4,0.0,0.2,0.8,0.2,0.4
28,196,370,6,262,355,287,41,136,189,87,361,101,0.8,0.0,0.2,0.4,0.4,0.6,0.4,0.2,0.2,0.6,0.2,0.0
29,319,117,8,201,195,251,177,390,91,277,281,150,0.2,0.2,0.2,0.0,0.4,0.6,0.2,0.4,0.6,0.6,0.8,0.2
30,103,350,97,276,153,29,145,399,245,329,161,380,0.2,0.2,0.4,0.4,0.6,0.6,0.2,0.8,0.0,0.6,0.0,0.0
31,369,363,287,118,310,218,292,237,145,124,155,15,0.8,0.4,0.4,0.0,0.4,0.4,0.0,0.2,0.4,0.0,0.2,0.0
32,270,305,142,338,369,67,176,245,227,376,33,290,0.2,0.8,0.4,0.4,0.4,0.4,0.0,0.0,0.2,0.6,0.0,0.2
33,53,72,146,5,205,77,188,199,145,306,231,261,0.2,0.2,0.4,0.2,0.2,0.6,0.2,0.8,0.4,0.2,0.4,0.4
34,7,136,287,52,216,230,302,140,271,249,127,384,0.4,0.6,0.4,0.0,0.2,0.2,0.4,0.8,0.0,0.2,0.6,0.2
35,326,324,183,372,2,314,62,311,82,80,207,165,0.4,0.2,0.2,0.4,0.0,0.4,0.2,0.2,0.0,0.6,0.8,0.4
36,208,62,164,190,153,42,338,385,320,182,1,119,0.6,0.2,0.8,0.4,0.2,0.4,0.6,0.2,0.4,0.0,0.2,0.0
37,280,377,316,12,329,366,74,372,65,215,46,123,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.6,0.2,0.2,0.8,0.4
38,227,356,154,209,191,239,134,111,317,99,125,330,0.4,0.2,0.4,0.0,0.2,0.4,0.0,0.8,0.4,0.2,0.2,0.4
39,182,223,171,378,215,130,186,374,16,168,70,222,0.2,0.0,0.6,0.4,0.0,0.4,0.2,0.0,0.2,0.4,0.4,0.8
40,357,224,200,96,163,82,91,185,93,166,213,138,0.4,0.4,0.4,0.8,0.2,0.0,0.2,0.0,0.4,0.4,0.2,0.0
41,160,256,126,34,300,351,188,194,19,396,362,361,0.2,0.4,0.2,0.2,0.2,0.0,0.4,0.2,0.4,0.4,0.6,1.0
42,28,71,35,64,269,92,259,125,203,95,197,66,0.0,0.2,0.4,0.2,0.2,0.6,0.2,0.8,0.4,0.2,0.4,0.4
43,178,243,56,146,374,301,317,197,218,100,141,155,0.6,0.0,0.0,0.4,0.2,0.6,0.4,0.4,0.0,0.2,0.2,0.8
44,114,171,8,315,224,202,4,270,182,248,133,217,0.2,0.2,0.8,0.4,0.2,0.2,0.2,0.4,0.0,0.4,0.4,0.4
45,308,164,151,366,128,272,329,189,165,249,208,345,0.2,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.2,0.4,0.4,0.2
46,274,273,164,302,191,329,79,61,49,321,151,117,0.0,0.2,0.4,0.2,0.4,0.8,0.4,0.4,0.6,0.2,0.2,0.2
47,112,55,217,370,107,104,373,276,67,230,317,211,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.8,0.4,0.2,0.0,0.0
48,197,379,239,228,69,343,306,159,292,0,43,198,0.0,0.4,0.6,0.0,0.2,0.4,0.4,0.2,0.6,0.2,0.8,0.2
49,65,157,94,53,2,200,190,267,49,95,144,159,0.0,0.6,0.0,0.0,0.4,0.0,0.4,0.8,0.4,0.2,0.4,0.2
50,356,232,58,237,222,375,349,62,266,183,32,186,0.4,0.8,0.4,0.2,0.2,0.0,0.6,0.0,0.4,0.0,0.4,0.2
51,219,13,307,90,389,365,361,88,41,60,241,44,0.2,0.4,0.4,0.4,0.4,0.2,0.0,0.0,0.8,0.2,0.4,0.0
52,290,226,375,178,10,387,157,192,68,38,240,17,0.4,0.2,0.0,0.6,0.4,0.8,0.2,0.6,0.0,0.2,0.4,0.2
53,324,392,327,146,179,199,140,83,313,156,329,121,0.2,0.4,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.8,0.4,0.2
54,135,357,262,226,139,45,266,54,219,208,289,86,0.4,0.2,0.8,0.0,0.4,0.2,0.2,0.6,0.4,0.2,0.2,0.6
55,169,153,357,181,145,237,176,73,27,325,353,278,0.6,0.2,0.2,0.4,0.2,0.2,0.8,0.2,0.4,0.0,0.6,0.4
56,334,159,382,317,252,389,2,14,375,328,23,110,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.0,0.6,0.2,0.8
57,398,214,111,83,105,24,379,117,80,330,158,82,0.0,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.0,0.8,0.4,0.0
58,388,53,20,258,178,301,393,220,172,84,336,162,0.2,0.4,0.4,0.4,0.4,0.0,0.2,0.4,0.0,0.8,0.2,0.2
59,217,357,134,276,248,127,66,394,128,18,73,121,0.6,0.4,0.0,0.4,0.2,0.2,0.4,0.2,0.8,0.2,0.4,0.2
60,189,84,216,59,347,158,342,203,285,35,164,83,0.0,0.4,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.8,0.4,0.0
61,353,220,42,169,280,396,234,204,189,199,184,149,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.0,0.2,0.6,1.0,0.2
62,75,248,115,114,168,97,14,112,50,194,154,161,0.8,0.2,0.2,0.4,0.6,0.2,0.4,0.2,0.4,0.6,0.2,0.2
63,61,300,273,352,76,369,197,306,42,222,251,276,0.4,0.6,0.2,0.0,0.4,0.8,0.0,0.2,0.4,0.4,0.2,0.2
64,145,233,257,399,58,139,322,76,106,324,243,269,0.2,0.2,0.4,0.4,0.4,0.0,0.2,0.8,0.2,0.6,0.2,0.4
65,29,53,65,227,157,399,76,354,239,221,25,382,0.2,0.2,0.2,0.4,0.8,0.6,0.4,0.4,0.4,0.2,0.2,0.0
66,77,254,396,19,122,115,365,197,24,1,374,282,0.2,0.2,0.8,0.4,0.0,0.0,0.2,0.4,0.4,0.6,0.4,0.0
67,252,198,42,3,127,241,238,20,167,146,93,326,0.2,0.2,0.0,0.0,0.4,0.2,0.4,0.8,0.6,0.6,0.2,0.6
68,340,29,206,196,41,155,251,113,70,21,358,12,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.4,1.0,0.4,0.2,0.2
69,307,273,344,237,136,343,221,47,24,305,331,164,0.4,0.4,0.2,0.0,0.2,0.6,0.2,0.2,0.8,0.2,0.4,0.4
70,174,115,379,370,304,24,392,237,226,284,70,316,0.4,0.8,0.2,0.4,0.2,0.2,0.2,0.6,0.0,0.0,0.6,0.4
71,310,316,264,395,375,251,151,235,332,359,367,277,0.2,0.2,0.4,0.4,0.4,0.2,0.8,0.4,0.2,0.2,0.4,0.2
72,215,337,391,236,288,335,224,248,126,16,139,345,0.6,0.4,0.0,0.4,0.0,0.2,0.2,0.2,0.8,0.2,0.4,0.4
73,343,305,321,197,379,314,293,108,120,203,394,64,0.0,0.8,0.0,0.0,0.4,0.4,0.2,0.4,0.4,0.0,0.0,0.4
74,238,91,167,206,146,151,278,252,201,240,30,87,0.0,0.4,0.4,0.2,0.8,0.6,0.0,0.2,0.2,0.2,0.6,0.4
75,183,285,271,228,304,129,255,355,125,81,186,73,0.4,0.0,0.2,0.0,0.6,0.0,0.8,0.2,0.4,0.0,0.4,0.4
