context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores
1,96,99,13,306,0.2,0.4,0.2,0.8
2,39,57,273,309,0.2,1.0,0.4,0.2
3,195,387,260,113,0.0,0.8,0.6,0.0
4,385,96,231,343,0.2,0.2,0.4,0.8
5,86,21,231,135,0.2,0.4,0.2,1.0
6,25,276,275,135,0.2,0.8,0.4,0.2
7,246,356,278,277,0.2,0.4,0.2,0.8
8,151,123,170,335,0.4,0.0,0.2,0.8
9,206,330,394,272,0.4,0.0,0.2,0.8
10,117,224,373,334,0.6,0.2,0.8,0.2
11,353,376,382,256,0.2,0.2,0.4,0.8
12,264,199,258,54,0.2,0.2,0.8,0.4
13,319,117,307,44,0.4,0.0,0.0,0.8
14,329,365,256,150,0.2,0.8,0.2,0.4
15,201,309,224,245,0.0,0.8,0.0,0.4
16,130,22,54,80,0.4,0.2,0.0,0.8
17,240,370,5,267,0.2,0.4,0.8,0.2
18,100,228,16,2,0.0,0.2,0.4,0.8
19,385,318,148,208,0.4,0.2,0.8,0.0
20,218,154,307,179,0.0,0.6,0.2,0.8
21,224,177,17,136,0.8,0.0,0.4,0.0
22,191,66,19,237,0.0,0.8,0.2,0.4
23,166,304,383,327,0.4,0.8,0.0,0.2
24,286,175,70,129,0.2,0.2,0.4,0.8
25,257,140,166,203,0.4,0.0,0.8,0.2
26,219,374,331,335,0.0,0.2,0.6,0.8
27,113,171,48,166,0.2,0.8,0.4,0.2
28,207,237,157,196,0.0,0.0,0.6,0.8
29,281,212,55,190,0.8,0.4,0.2,0.2
30,230,153,158,309,0.8,0.6,0.2,0.2
31,319,369,367,286,0.0,0.8,0.4,0.0
32,69,30,197,283,0.4,0.2,0.2,0.8
33,202,193,99,376,0.6,0.2,0.8,0.0
34,285,277,265,209,0.6,0.0,0.2,0.8
35,207,247,156,63,0.8,0.2,0.2,0.4
36,283,164,118,217,0.2,0.8,0.4,0.0
37,268,202,178,78,0.2,0.6,0.8,0.0
38,195,277,207,352,0.2,0.6,0.8,0.2
39,331,202,243,339,0.0,0.8,0.4,0.0
40,30,182,294,234,0.6,0.8,0.0,0.2
41,139,294,183,161,0.2,0.2,0.8,0.4
42,224,236,125,179,0.2,0.4,0.8,0.2
43,256,19,150,202,0.4,0.8,0.0,0.2
44,230,113,8,140,0.6,0.2,0.8,0.0
45,116,244,250,140,0.6,0.8,0.0,0.0
46,268,281,267,107,0.2,0.2,0.8,0.6
47,49,344,60,381,0.2,0.2,0.4,0.8
48,48,274,242,119,0.0,0.0,0.8,0.4
49,396,75,240,53,0.8,0.0,0.4,0.0
50,48,396,238,31,0.2,0.6,0.2,0.8
51,278,297,136,300,0.4,0.8,0.0,0.0
52,70,110,375,369,0.2,0.8,0.0,0.4
53,203,352,169,108,0.0,0.2,0.8,0.4
54,367,57,262,309,0.2,0.4,0.8,0.2
55,15,176,238,108,0.4,0.8,0.2,0.2
56,64,335,86,176,0.0,0.8,0.4,0.0
57,96,157,260,166,0.6,0.0,0.8,0.2
58,71,254,169,221,1.0,0.4,0.2,0.2
59,369,240,224,229,0.2,0.4,0.8,0.2
60,379,34,19,93,0.4,0.2,0.2,0.8
61,142,184,233,37,0.4,1.0,0.2,0.2
62,320,11,35,256,0.4,0.0,0.2,1.0
63,235,223,116,68,0.8,0.2,0.4,0.2
64,109,76,360,101,0.4,0.8,0.2,0.0
65,89,9,157,86,0.0,0.4,0.8,0.2
66,294,199,396,376,0.2,0.6,0.8,0.2
67,153,294,27,146,0.0,0.0,0.8,0.6
68,214,234,207,169,0.2,0.0,0.8,0.4
69,301,3,377,335,0.2,0.2,0.4,0.8
70,329,347,382,39,0.0,0.4,0.8,0.0
71,232,87,160,20,0.2,0.2,0.8,0.4
72,299,170,260,48,0.2,0.0,0.4,0.8
73,145,365,224,146,0.2,0.4,0.2,0.8
74,314,307,320,207,0.2,0.2,0.8,0.6
75,195,125,165,254,0.8,0.4,0.2,0.0
76,397,280,23,251,0.2,0.8,0.0,0.6
77,373,354,215,140,0.8,0.2,0.6,0.2
78,399,383,158,89,0.0,0.2,0.8,0.6
79,263,260,310,311,0.0,1.0,0.2,0.4
80,100,122,135,181,0.2,0.2,0.8,0.4
81,102,307,381,222,0.2,0.0,0.4,0.8
82,173,29,75,169,0.2,0.0,0.8,0.4
83,10,359,387,141,0.4,0.2,0.2,0.8
84,138,196,348,48,0.2,0.8,0.2,0.4
85,165,153,249,18,0.4,0.2,0.8,0.2
86,23,180,307,384,0.4,0.0,0.2,0.8
87,154,15,272,42,0.8,0.4,0.0,0.2
88,15,171,396,85,0.4,0.8,0.2,0.0
89,301,300,145,14,0.2,0.8,0.2,0.4
90,394,389,120,80,0.4,0.0,0.8,0.0
91,276,227,299,357,0.2,0.4,0.2,0.8
92,80,287,24,191,0.2,0.2,0.4,0.8
93,311,227,175,232,0.8,0.4,0.0,0.2
94,157,95,179,345,0.8,0.4,0.2,0.2
95,5,10,49,57,0.4,0.0,0.2,0.8
96,272,170,365,152,0.2,0.8,0.4,0.2
97,103,364,357,385,0.2,0.8,0.4,0.0
98,291,93,312,177,0.8,0.0,0.4,0.0
99,179,217,81,239,0.2,0.0,0.6,0.8
100,227,24,41,273,0.2,0.0,0.8,0.4
101,318,320,139,392,0.4,0.2,0.2,0.8
102,241,260,7,378,0.2,0.0,1.0,0.4
103,13,54,334,202,0.4,0.8,0.0,0.2
104,186,151,73,346,0.0,0.2,0.8,0.4
105,314,283,117,77,0.0,0.2,0.8,0.4
106,289,56,387,107,0.2,0.2,0.4,0.8
107,99,237,44,245,0.0,0.8,0.4,0.2
108,275,17,8,327,0.2,0.4,0.2,0.8
109,231,84,236,259,0.8,0.4,0.2,0.2
110,280,396,177,45,0.8,0.4,0.2,0.0
111,141,278,305,193,0.2,0.2,0.8,0.4
112,219,8,6,322,0.6,0.0,0.8,0.2
113,317,60,297,1,0.8,0.6,0.2,0.2
114,190,296,373,186,0.2,0.4,0.8,0.2
115,382,15,133,377,0.8,0.2,0.2,0.4
116,128,63,391,317,0.8,0.2,0.6,0.0
117,268,369,361,271,0.2,0.8,0.4,0.0
118,374,217,296,103,0.2,0.4,0.8,0.2
119,42,70,368,43,0.2,0.6,0.2,0.8
120,226,39,291,331,0.4,0.2,0.2,0.8
121,327,365,116,49,0.2,0.8,0.4,0.2
122,266,344,32,330,0.2,0.2,0.8,0.6
123,155,211,78,83,0.0,0.4,0.8,0.0
124,9,212,58,261,0.4,0.0,0.8,0.2
125,196,71,331,385,0.4,0.8,0.2,0.2
126,253,310,192,245,0.4,0.2,0.2,0.8
127,354,213,278,75,0.8,0.0,0.2,0.4
128,203,197,164,211,0.8,0.0,0.4,0.0
129,261,199,5,248,0.2,0.4,0.8,0.2
130,270,341,249,88,0.2,0.8,0.6,0.0
131,349,236,121,386,0.0,0.8,0.2,0.4
132,189,37,123,128,0.4,0.2,0.2,1.0
133,0,56,124,331,0.4,0.2,0.0,0.8
134,191,63,108,126,0.0,0.6,0.2,0.8
135,289,236,53,315,0.2,0.4,0.8,0.2
136,240,80,143,217,0.2,0.0,0.4,0.8
137,125,108,358,137,0.2,1.0,0.4,0.0
