context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores,candidate_6_scores,candidate_7_scores,candidate_8_scores
1,226,103,223,87,52,193,64,394,0.2,0.6,0.4,0.8,0.0,0.0,0.4,0.0
2,359,263,317,73,295,52,94,57,0.4,0.0,0.2,0.2,0.6,0.4,0.0,1.0
3,94,169,233,335,130,213,19,135,0.0,0.8,0.4,0.4,0.2,0.2,0.4,0.2
4,230,317,357,179,119,137,282,2,0.4,0.0,0.0,0.8,0.4,0.4,0.0,0.2
5,90,255,393,350,365,268,199,153,0.2,0.0,0.6,0.2,0.8,0.4,0.0,0.4
6,66,133,332,28,195,238,103,271,0.0,0.6,0.0,0.8,0.2,0.6,0.2,0.4
7,165,66,170,74,93,382,25,54,0.2,0.4,0.6,0.2,0.6,0.0,0.8,0.2
8,152,98,94,188,12,50,287,191,0.0,0.4,0.8,0.0,0.2,0.2,0.4,0.6
9,42,43,219,41,364,117,266,123,0.0,0.2,0.8,0.4,0.2,0.0,0.6,0.6
10,118,373,61,369,371,72,109,35,0.2,0.8,0.0,0.2,0.4,0.4,0.4,0.2
11,98,231,256,104,361,308,222,316,0.2,0.2,0.8,0.4,0.2,0.2,0.4,0.4
12,256,321,370,75,22,338,313,334,0.2,0.2,0.4,0.6,0.4,0.2,0.2,0.8
13,203,69,137,121,258,28,221,72,0.6,0.4,0.4,0.8,0.0,0.2,0.2,0.2
14,183,88,157,339,211,48,298,237,0.0,0.2,0.2,0.4,0.2,0.8,0.4,0.4
15,196,102,352,184,393,336,99,6,0.0,0.2,0.4,0.4,0.2,0.2,0.4,0.8
16,327,34,242,335,229,392,96,278,0.4,0.8,0.2,0.2,0.0,0.2,0.4,0.4
17,32,242,41,108,126,191,153,212,0.0,0.2,0.4,0.8,0.4,0.2,0.2,0.4
18,223,301,200,348,165,376,44,335,0.4,0.2,0.2,0.2,0.8,0.6,0.6,0.2
19,136,203,321,106,248,398,132,340,0.2,0.2,0.6,0.4,0.6,1.0,0.0,0.2
20,312,316,179,294,114,189,187,237,0.6,0.4,0.8,0.6,0.0,0.2,0.2,0.2
21,358,223,344,177,224,320,256,108,0.6,0.2,0.4,0.0,0.8,0.2,0.4,0.2
22,249,225,341,66,181,378,196,127,0.4,0.2,0.6,0.8,0.6,0.0,0.0,0.0
23,100,277,79,157,6,58,367,234,0.2,0.8,0.4,0.6,0.2,0.6,0.0,0.0
24,150,196,325,138,129,361,88,53,0.4,0.0,0.0,0.0,0.8,0.4,0.4,0.2
25,345,37,42,147,141,202,256,183,0.2,0.2,0.4,0.2,0.4,0.2,0.8,0.4
26,27,181,145,374,86,370,255,136,0.4,0.2,0.4,0.2,0.4,0.8,0.0,0.2
27,367,16,278,159,39,14,229,76,0.2,0.4,0.2,0.4,0.8,0.2,0.4,0.2
28,189,75,354,216,191,56,24,36,0.2,0.2,0.4,0.2,0.0,0.6,0.8,0.6
29,346,122,210,168,216,143,339,337,0.4,0.2,0.2,0.0,0.6,0.4,0.2,0.8
30,271,211,312,47,164,379,215,27,0.2,0.2,0.8,0.6,0.4,0.4,0.2,0.2
31,218,369,128,88,182,269,228,308,0.4,0.8,0.4,0.2,0.2,0.4,0.2,0.0
32,116,340,390,99,143,193,179,62,0.2,0.8,0.2,0.4,0.2,0.0,0.6,0.4
33,155,99,57,152,369,129,125,66,0.6,0.8,0.2,0.2,0.2,0.4,0.2,0.6
34,260,301,348,303,255,320,172,245,0.8,0.0,0.2,0.2,0.4,0.2,0.6,0.4
35,37,260,69,142,169,386,136,48,0.8,0.2,0.0,0.2,0.6,0.4,0.2,0.6
36,211,179,374,244,85,10,29,228,0.0,0.2,0.4,0.2,0.2,0.4,0.8,0.4
37,386,393,122,283,16,287,305,31,0.2,0.0,0.4,0.8,0.0,0.4,0.6,0.2
38,377,281,205,99,157,203,146,55,0.4,0.8,0.2,0.2,0.4,0.6,0.0,0.2
39,388,202,76,217,322,1,240,49,0.4,0.8,0.2,0.4,0.6,0.2,0.2,0.0
40,311,357,368,172,240,355,158,1,0.2,0.4,0.2,0.8,0.2,0.4,0.0,0.4
41,342,214,315,392,217,353,97,339,0.2,0.2,0.6,0.4,0.2,0.8,0.2,0.6
42,125,204,340,35,268,184,20,135,0.8,0.6,0.0,0.4,0.2,0.0,0.4,0.2
43,97,19,101,294,357,2,100,398,0.6,0.8,0.0,0.2,0.6,0.2,0.2,0.4
44,244,349,322,22,215,285,270,8,0.4,0.2,0.2,0.0,0.0,0.4,0.4,0.8
45,217,186,352,268,399,261,282,136,0.0,0.2,0.4,0.8,0.4,0.2,0.4,0.0
46,327,381,268,219,243,288,42,207,1.0,0.4,0.2,0.4,0.2,0.4,0.2,0.2
47,397,326,172,269,63,189,381,391,0.2,0.4,0.2,0.4,0.6,0.0,0.8,0.2
48,123,164,32,199,217,376,232,169,0.6,0.2,0.0,0.2,0.2,0.4,0.8,0.6
49,388,396,74,100,185,383,8,164,0.2,0.8,0.4,0.2,0.4,0.2,0.2,0.4
50,37,228,257,255,159,358,106,124,0.2,0.2,0.4,0.0,0.4,1.0,0.2,0.4
51,3,41,75,257,362,115,123,131,0.2,0.8,0.2,0.4,0.6,0.2,0.4,0.0
52,304,215,352,143,199,190,225,269,0.4,0.0,0.0,0.4,0.6,0.2,0.8,0.2
53,359,250,102,332,374,216,258,302,0.4,0.2,0.2,0.0,0.4,0.4,0.2,0.8
54,194,169,25,116,280,164,158,339,0.0,0.4,0.2,0.8,0.2,0.2,0.4,0.4
55,388,223,232,62,64,335,333,129,0.4,0.0,0.4,0.8,0.4,0.2,0.2,0.0
56,201,11,41,135,88,323,81,198,0.4,0.8,0.0,0.4,0.2,0.2,0.4,0.0
57,313,164,85,308,14,197,332,7,0.0,0.8,0.2,0.2,0.6,0.4,0.0,0.4
58,319,294,7,71,297,274,116,162,0.0,0.6,0.2,1.0,0.6,0.6,0.2,0.2
